City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
88,Salalah,OM,2022-02-13 22:21:56,17.0151,54.0924,75.29,23,0,21.85,clear sky,0.0,0.0
89,Guerrero Negro,MX,2022-02-13 22:18:24,27.9769,-114.0611,82.27,18,15,6.87,few clouds,0.0,0.0
90,Aguimes,ES,2022-02-13 22:27:04,27.9054,-15.4461,61.43,68,20,15.01,few clouds,0.0,0.0
91,Kedougou,SN,2022-02-13 22:27:04,12.5579,-12.1743,81.18,22,0,0.0,clear sky,0.0,0.0
92,Chuy,UY,2022-02-13 22:20:08,-33.6971,-53.4616,66.72,50,1,10.09,clear sky,0.0,0.0
93,Walvis Bay,NA,2022-02-13 22:27:05,-22.9575,14.5053,74.08,83,5,5.75,light rain,0.0,0.0
94,Yellowknife,CA,2022-02-13 22:19:40,62.456,-114.3525,-10.71,65,20,4.61,few clouds,0.0,0.0
95,Arraial Do Cabo,BR,2022-02-13 22:19:34,-22.9661,-42.0278,76.86,88,20,16.11,few clouds,0.0,0.0
96,Kongolo,CD,2022-02-13 22:27:05,-5.3833,27.0,69.6,98,100,3.62,light rain,0.0,0.0
97,Ushuaia,AR,2022-02-13 22:19:55,-54.8,-68.3,38.86,87,75,28.77,broken clouds,0.0,0.0
98,Vardo,NO,2022-02-13 22:21:24,70.3705,31.1107,24.78,93,100,32.21,snow,0.0,0.0
99,Villablino,ES,2022-02-13 22:27:06,42.9393,-6.3194,38.17,89,100,7.94,overcast clouds,0.0,0.0
100,Nipawin,CA,2022-02-13 22:27:06,53.3668,-104.0009,10.44,72,0,9.22,clear sky,0.0,0.0
101,Tasiilaq,GL,2022-02-13 22:19:39,65.6145,-37.6368,21.36,82,100,12.93,overcast clouds,0.0,0.0
102,Moussoro,TD,2022-02-13 22:27:06,13.6408,16.4901,74.07,11,2,11.39,clear sky,0.0,0.0
103,Ternate,ID,2022-02-13 22:27:06,0.8,127.4,79.7,77,100,1.77,overcast clouds,0.0,0.0
104,Dryden,CA,2022-02-13 22:27:07,49.7833,-92.7503,-1.91,55,100,9.22,overcast clouds,0.0,0.0
105,Inyonga,TZ,2022-02-13 22:27:07,-6.7167,32.0667,63.61,94,100,3.51,light rain,0.0,0.0
106,Cao Bang,VN,2022-02-13 22:27:07,22.6667,106.25,48.18,94,7,1.86,clear sky,0.0,0.0
107,Belmonte,BR,2022-02-13 22:27:08,-15.8631,-38.8828,79.3,87,100,7.0,overcast clouds,0.0,0.0
108,Kodiak,US,2022-02-13 22:21:06,57.79,-152.4072,36.91,70,0,6.91,clear sky,0.0,0.0
109,Ribeira Grande,PT,2022-02-13 22:20:46,38.5167,-28.7,58.35,69,99,9.64,overcast clouds,0.0,0.0
110,Grindavik,IS,2022-02-13 22:21:48,63.8424,-22.4338,28.35,93,75,9.22,broken clouds,0.0,0.0
111,Hofn,IS,2022-02-13 22:20:12,64.2539,-15.2082,21.76,62,18,10.67,few clouds,0.0,0.0
112,Boizenburg,DE,2022-02-13 22:27:08,53.3833,10.7167,45.05,78,100,13.78,overcast clouds,0.0,0.0
113,Okha,RU,2022-02-13 22:27:09,53.5739,142.9478,-13.2,96,19,9.04,few clouds,0.0,0.0
114,Zhezkazgan,KZ,2022-02-13 22:21:57,47.8043,67.7144,29.91,98,100,15.17,light snow,0.0,0.0
115,Coquimbo,CL,2022-02-13 22:27:09,-29.9533,-71.3436,69.53,64,0,12.66,clear sky,0.0,0.0
116,Talnakh,RU,2022-02-13 22:19:59,69.4865,88.3972,-7.24,69,15,8.88,few clouds,0.0,0.0
117,Mar Del Plata,AR,2022-02-13 22:21:03,-38.0023,-57.5575,69.82,64,0,8.05,clear sky,0.0,0.0
118,Wawa,NG,2022-02-13 22:27:09,9.9022,4.4192,84.58,18,5,4.23,clear sky,0.0,0.0
